   1   1.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0137    0.0207   -0.0761    0.0153    0.0180
   2   2.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0068    0.0265   -0.0954    0.0303    0.0841
   3   3.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0176    0.0274   -0.0766    0.0343    0.0483
   4   4.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0154    0.0170   -0.0558    0.0470    0.0522
   5   6.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0228    0.0013   -0.0409    0.0347    0.0507
   6   7.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0165   -0.0182   -0.0424    0.0179    0.0353
   7   8.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0014   -0.0319   -0.0202    0.0355    0.0430
   8   9.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0171   -0.0218   -0.0832    0.0912    0.0693
   9  10.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0156    0.0167   -0.1119    0.1414    0.0451
  10  12.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0094    0.0582   -0.0980    0.1507    0.0403
  11  13.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0664    0.1145   -0.0608    0.1268    0.1125
  12  14.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0874    0.1641   -0.0446    0.1141    0.1407
  13  15.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1456    0.1902   -0.0895    0.0597    0.0324
  14  16.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.2020    0.2237   -0.1746    0.0920   -0.0247
  15  18.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.2118    0.2238   -0.1516    0.0943   -0.0968
  16  19.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1823    0.1896   -0.0079    0.0745   -0.2442
  17  20.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1562    0.1547    0.0862    0.0943   -0.3510
  18  21.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1153    0.1190    0.0789    0.1844   -0.5608
  19  22.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0708    0.0615    0.1214    0.2907   -0.7035
  20  24.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0304    0.0123    0.1177    0.4047   -0.6634
  21  25.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0099   -0.0137    0.0697    0.5176   -0.7181
  22  26.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0226   -0.0246   -0.0049    0.6228   -0.6966
  23  27.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0281   -0.0350   -0.0481    0.7307   -0.6407
  24  28.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0282   -0.0472   -0.1226    0.8837   -0.5929
  25  30.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0190   -0.0567   -0.1975    0.9763   -0.6131
  26  31.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0117   -0.0630   -0.2582    1.0278   -0.6380
  27  32.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0073   -0.0827   -0.2132    0.9768   -0.6893
  28  33.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0116   -0.0837   -0.1988    0.8942   -0.8176
  29  34.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0630   -0.0638   -0.2986    0.9212   -0.9390
  30  36.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1383   -0.0381   -0.4616    1.0074   -1.1939
  31  37.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.2410   -0.0161   -0.5205    1.0786   -1.2743
  32  38.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.3063    0.0119   -0.4592    1.0415   -1.2202
  33  39.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.3602    0.0293   -0.3474    0.9106   -1.2461
  34  40.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.3896    0.0212   -0.2834    0.8361   -1.3070
  35  42.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.4138   -0.0024   -0.2566    0.8000   -1.4127
  36  43.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.4260   -0.0531   -0.3025    0.8415   -1.6142
  37  44.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.4326   -0.1209   -0.3245    0.8800   -1.7340
  38  45.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.4241   -0.1942   -0.3527    0.9082   -1.7818
  39  46.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.3837   -0.2526   -0.4067    0.9112   -1.8173
  40  48.00    1.0000    1.0000    1.0000    1.0000    0.9706    1.8629    1.8629    1.8629    1.8629    1.9192    0.3330   -0.3001   -0.5872    1.0232   -1.9192
  41  49.20    1.0000    1.0000    1.0000    1.0000    0.9805    1.8629    1.8629    1.8629    1.8629    1.9000    0.2686   -0.3447   -0.7375    1.1063   -1.9000
  42  50.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1988   -0.3938   -0.9045    1.1933   -1.7355
  43  51.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.1391   -0.4300   -1.0898    1.2878   -1.6112
  44  52.80    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0725   -0.4568   -1.2289    1.3562   -1.4458
  45  54.00    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629    0.0055   -0.4686   -1.4272    1.4633   -1.3858
  46  55.20    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0301   -0.4624   -1.6220    1.5912   -1.4545
  47  56.40    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.0675   -0.4518   -1.7505    1.6848   -1.4315
  48  57.60    1.0000    1.0000    1.0000    1.0000    1.0000    1.8629    1.8629    1.8629    1.8629    1.8629   -0.1147   -0.4659   -1.8391    1.7550   -1.3828
  49  58.80    1.0000    1.0000    0.9588    0.9854    1.0000    1.8629    1.8629    1.9429    1.8904    1.8629   -0.1439   -0.4821   -1.9429    1.8904   -1.4243
  50  60.00    1.0000    1.0000    0.8700    0.8939    1.0000    1.8629    1.8629    2.1413    2.0840    1.8629   -0.1404   -0.4892   -2.1413    2.0840   -1.4446
