  34  27.20    0.2390    1.0000    1.0000    1.0000    1.0000   11.7646    2.8114    2.8114    2.8114    2.8114   11.7646    2.6337    1.6734   -2.0022   -1.4002
  35  28.00    0.2566    1.0000    1.0000    1.0000    1.0000   10.9551    2.8114    2.8114    2.8114    2.8114   10.9551    2.6579    1.7753   -1.9998   -1.4291
  36  28.80    0.2797    1.0000    1.0000    1.0000    1.0000   10.0504    2.8114    2.8114    2.8114    2.8114   10.0504    2.6716    1.8521   -2.0129   -1.4727
  37  29.60    0.3024    1.0000    1.0000    1.0000    1.0000    9.2959    2.8114    2.8114    2.8114    2.8114    9.2959    2.6820    1.8169   -2.0075   -1.4995
  38  30.40    0.3194    1.0000    1.0000    1.0000    1.0000    8.8014    2.8114    2.8114    2.8114    2.8114    8.8014    2.6287    1.7651   -2.0121   -1.5212
  39  31.20    0.3287    1.0000    1.0000    1.0000    1.0000    8.5525    2.8114    2.8114    2.8114    2.8114    8.5525    2.5126    1.7117   -2.0057   -1.5179
  40  32.00    0.3299    1.0000    1.0000    1.0000    1.0000    8.5226    2.8114    2.8114    2.8114    2.8114    8.5226    2.3470    1.6595   -1.9883   -1.4820
  41  32.80    0.3243    1.0000    1.0000    1.0000    1.0000    8.6699    2.8114    2.8114    2.8114    2.8114    8.6699    2.1823    1.5852   -2.0116   -1.4091
  42  33.60    0.3148    1.0000    1.0000    1.0000    1.0000    8.9301    2.8114    2.8114    2.8114    2.8114    8.9301    2.0089    1.5068   -2.0088   -1.3064
  43  34.40    0.3014    1.0000    1.0000    1.0000    1.0000    9.3285    2.8114    2.8114    2.8114    2.8114    9.3285    1.8787    1.3513   -2.0290   -1.1933
  44  35.20    0.2914    1.0000    1.0000    1.0000    1.0000    9.6489    2.8114    2.8114    2.8114    2.8114    9.6489    1.7444    1.2300   -2.0524   -1.0458
  45  36.00    0.2866    1.0000    1.0000    1.0000    1.0000    9.8082    2.8114    2.8114    2.8114    2.8114    9.8082    1.6465    1.0903   -2.0929   -0.8821
  46  36.80    0.2828    1.0000    1.0000    1.0000    1.0000    9.9402    2.8114    2.8114    2.8114    2.8114    9.9402    1.6066    0.8966   -2.1831   -0.7304
  47  37.60    0.2822    1.0000    1.0000    1.0000    1.0000    9.9621    2.8114    2.8114    2.8114    2.8114    9.9621    1.5829    0.7455   -2.2877   -0.5726
  48  38.40    0.2798    1.0000    1.0000    1.0000    1.0000   10.0481    2.8114    2.8114    2.8114    2.8114   10.0481    1.5903    0.5586   -2.4261   -0.4896
  49  39.20    0.2824    1.0000    1.0000    1.0000    1.0000    9.9556    2.8114    2.8114    2.8114    2.8114    9.9556    1.5623    0.4389   -2.5896   -0.4539
  50  40.00    0.2850    1.0000    1.0000    1.0000    1.0000    9.8636    2.8114    2.8114    2.8114    2.8114    9.8636    1.4968    0.3752   -2.7829   -0.4622
