# prepare_marked_for_prep report
input_marked_dir: /Data/Tele/Miyako/Marked
output_dir: /Data/Tele/Miyako/prep2_ready
total_sac_files: 72
written_records: 72
skipped_records: 0

status|station|detail
OK|II.BORG.10.BHZ|pick=T4:698.612976; sac=II.BORG.10.BHZ.M.2026.110.075937.SAC; pz=SACPZ.II.BORG.10.BHZ; info=BORG.10.BHZ.info
OK|II.BORK.10.BHZ|pick=T3:527.798828; sac=II.BORK.10.BHZ.M.2026.110.075648.SAC; pz=SACPZ.II.BORK.10.BHZ; info=BORK.10.BHZ.info
OK|II.COCO.00.BHZ|pick=T4:651.054688; sac=II.COCO.00.BHZ.M.2026.110.075852.SAC; pz=SACPZ.II.COCO.00.BHZ; info=COCO.00.BHZ.info
OK|II.DGAR.10.BHZ|pick=T4:725.934998; sac=II.DGAR.10.BHZ.M.2026.110.080007.SAC; pz=SACPZ.II.DGAR.10.BHZ; info=DGAR.10.BHZ.info
OK|II.ESK.00.BHZ|pick=T4:730.064209; sac=II.ESK.00.BHZ.M.2026.110.080010.SAC; pz=SACPZ.II.ESK.00.BHZ; info=ESK.00.BHZ.info
OK|II.FFC.10.BHZ|pick=T3:670.499329; sac=II.FFC.10.BHZ.M.2026.110.075912.SAC; pz=SACPZ.II.FFC.10.BHZ; info=FFC.10.BHZ.info
OK|II.KAPI.10.BHZ|pick=T4:527.133789; sac=II.KAPI.10.BHZ.M.2026.110.075649.SAC; pz=SACPZ.II.KAPI.10.BHZ; info=KAPI.10.BHZ.info
OK|II.KURK.00.BHZ|pick=T3:493.000519; sac=II.KURK.00.BHZ.M.2026.110.075614.SAC; pz=SACPZ.II.KURK.00.BHZ; info=KURK.00.BHZ.info
OK|II.MSVF.00.BHZ|pick=T4:643.761536; sac=II.MSVF.00.BHZ.M.2026.110.075844.SAC; pz=SACPZ.II.MSVF.00.BHZ; info=MSVF.00.BHZ.info
OK|II.PALK.10.BHZ|pick=T3:631.044556; sac=II.PALK.10.BHZ.M.2026.110.075832.SAC; pz=SACPZ.II.PALK.10.BHZ; info=PALK.10.BHZ.info
OK|II.SIMI.00.BHZ|pick=T3:572.671326; sac=II.SIMI.00.BHZ.M.2026.110.075733.SAC; pz=SACPZ.II.SIMI.00.BHZ; info=SIMI.00.BHZ.info
OK|II.UOSS.00.BHZ|pick=T3:680.403931; sac=II.UOSS.00.BHZ.M.2026.110.075922.SAC; pz=SACPZ.II.UOSS.00.BHZ; info=UOSS.00.BHZ.info
OK|IU.AFI.00.BHZ|pick=T3:655.444275; sac=IU.AFI.00.BHZ.M.2026.110.075857.SAC; pz=SACPZ.IU.AFI.00.BHZ; info=AFI.00.BHZ.info
OK|IU.ANTO.00.BHZ|pick=T3:716.521057; sac=IU.ANTO.00.BHZ.M.2026.110.075956.SAC; pz=SACPZ.IU.ANTO.00.BHZ; info=ANTO.00.BHZ.info
OK|IU.CHTO.10.BHZ|pick=T3:477.994446; sac=IU.CHTO.10.BHZ.M.2026.110.075559.SAC; pz=SACPZ.IU.CHTO.10.BHZ; info=CHTO.10.BHZ.info
OK|IU.COLA.00.BHZ|pick=T4:499.028656; sac=IU.COLA.00.BHZ.M.2026.110.075619.SAC; pz=SACPZ.IU.COLA.00.BHZ; info=COLA.00.BHZ.info
OK|IU.COR.60.BHZ|pick=T4:643.304749; sac=IU.COR.60.BHZ.M.2026.110.075841.SAC; pz=SACPZ.IU.COR.60.BHZ; info=COR.60.BHZ.info
OK|IU.CTAO.00.BHZ|pick=T4:599.988403; sac=IU.CTAO.00.BHZ.M.2026.110.075803.SAC; pz=SACPZ.IU.CTAO.00.BHZ; info=CTAO.00.BHZ.info
OK|IU.DAV.10.BHZ|pick=T3:418.811920; sac=IU.DAV.10.BHZ.M.2026.110.075501.SAC; pz=SACPZ.IU.DAV.10.BHZ; info=DAV.10.BHZ.info
OK|IU.GNI.00.BHZ|pick=T3:675.264160; sac=IU.GNI.00.BHZ.M.2026.110.075914.SAC; pz=SACPZ.IU.GNI.00.BHZ; info=GNI.00.BHZ.info
OK|IU.GRFO.00.BHZ|pick=T4:732.041748; sac=IU.GRFO.00.BHZ.M.2026.110.080012.SAC; pz=SACPZ.IU.GRFO.00.BHZ; info=GRFO.00.BHZ.info
OK|IU.HNR.00.BHZ|pick=T3:540.829895; sac=IU.HNR.00.BHZ.M.2026.110.075703.SAC; pz=SACPZ.IU.HNR.00.BHZ; info=HNR.00.BHZ.info
OK|IU.KBS.00.BHZ|pick=T3:589.194153; sac=IU.KBS.00.BHZ.M.2026.110.075749.SAC; pz=SACPZ.IU.KBS.00.BHZ; info=KBS.00.BHZ.info
OK|IU.KEV.00.BHZ|pick=T3:610.343262; sac=IU.KEV.00.BHZ.M.2026.110.075811.SAC; pz=SACPZ.IU.KEV.00.BHZ; info=KEV.00.BHZ.info
OK|IU.KIEV.10.BHZ|pick=T3:684.123474; sac=IU.KIEV.10.BHZ.M.2026.110.075925.SAC; pz=SACPZ.IU.KIEV.10.BHZ; info=KIEV.10.BHZ.info
OK|IU.KIP.00.BHZ|pick=T3:553.574768; sac=IU.KIP.00.BHZ.M.2026.110.075714.SAC; pz=SACPZ.IU.KIP.00.BHZ; info=KIP.00.BHZ.info
OK|IU.KONO.00.BHZ|pick=T4:689.051758; sac=IU.KONO.00.BHZ.M.2026.110.075930.SAC; pz=SACPZ.IU.KONO.00.BHZ; info=KONO.00.BHZ.info
OK|IU.MAKZ.00.BHZ|pick=T3:483.174164; sac=IU.MAKZ.00.BHZ.M.2026.110.075603.SAC; pz=SACPZ.IU.MAKZ.00.BHZ; info=MAKZ.00.BHZ.info
OK|IU.MBWA.00.BHZ|pick=T4:632.136292; sac=IU.MBWA.00.BHZ.M.2026.110.075835.SAC; pz=SACPZ.IU.MBWA.00.BHZ; info=MBWA.00.BHZ.info
OK|IU.MIDW.00.BHZ|pick=T4:404.029114; sac=IU.MIDW.00.BHZ.M.2026.110.075445.SAC; pz=SACPZ.IU.MIDW.00.BHZ; info=MIDW.00.BHZ.info
OK|IU.NWAO.00.BHZ|pick=T4:704.194153; sac=IU.NWAO.00.BHZ.M.2026.110.075946.SAC; pz=SACPZ.IU.NWAO.00.BHZ; info=NWAO.00.BHZ.info
OK|IU.PMG.10.BHZ|pick=T3:523.591614; sac=IU.PMG.10.BHZ.M.2026.110.075646.SAC; pz=SACPZ.IU.PMG.10.BHZ; info=PMG.10.BHZ.info
OK|IU.POHA.00.BHZ|pick=T3:574.498901; sac=IU.POHA.00.BHZ.M.2026.110.075735.SAC; pz=SACPZ.IU.POHA.00.BHZ; info=POHA.00.BHZ.info
OK|IU.RAR.10.BHZ|pick=T4:731.581482; sac=IU.RAR.10.BHZ.M.2026.110.080011.SAC; pz=SACPZ.IU.RAR.10.BHZ; info=RAR.10.BHZ.info
OK|IU.RSSD.00.BHZ|pick=T4:707.321899; sac=IU.RSSD.00.BHZ.M.2026.110.075948.SAC; pz=SACPZ.IU.RSSD.00.BHZ; info=RSSD.00.BHZ.info
OK|IU.SFJD.10.BHZ|pick=T4:684.513123; sac=IU.SFJD.10.BHZ.M.2026.110.075925.SAC; pz=SACPZ.IU.SFJD.10.BHZ; info=SFJD.10.BHZ.info
OK|IU.SNZO.10.BHZ|pick=T4:754.864197; sac=IU.SNZO.10.BHZ.M.2026.110.080037.SAC; pz=SACPZ.IU.SNZO.10.BHZ; info=SNZO.10.BHZ.info
OK|IU.TARA.10.BHZ|pick=T3:507.177734; sac=IU.TARA.10.BHZ.M.2026.110.075629.SAC; pz=SACPZ.IU.TARA.10.BHZ; info=TARA.10.BHZ.info
OK|IU.TUC.60.BHZ|pick=T4:732.355835; sac=IU.TUC.60.BHZ.M.2026.110.080011.SAC; pz=SACPZ.IU.TUC.60.BHZ; info=TUC.60.BHZ.info
OK|IU.XMAS.00.BHZ|pick=T4:640.829041; sac=IU.XMAS.00.BHZ.M.2026.110.075841.SAC; pz=SACPZ.IU.XMAS.00.BHZ; info=XMAS.00.BHZ.info
