     58.34      1.00     30.06    1      7.70
     58.34      1.00     28.76    1      7.70
     58.34      1.00     27.47    1      7.70
     58.34      1.00     26.18    1      7.70
     58.34      1.00     24.88    1      7.70
     58.34      1.00     23.59    1      7.70
     50.03      1.00     22.29    1      7.10
     50.03      1.00     21.00    1      7.10
     50.03      1.00     19.71    1      7.10
     50.03      1.00     18.41    1      7.10
     50.03      1.00     17.12    1      7.10
     50.03      1.00     15.82    1      7.10
     50.03      1.00     14.53    1      7.10
     50.03      1.00     13.24    1      7.10
     50.03      1.00     11.94    1      7.10
