  34  23.80    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    1.6609    0.4101   -1.1808   -1.6892    1.0498
  35  24.50    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    1.3777    0.5642   -0.9656   -1.9306    1.0817
  36  25.20    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.8607    0.2832   -0.4908   -1.9219    1.0475
  37  25.90    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.0638   -0.0269   -0.2579   -1.7010    0.8481
  38  26.60    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -0.8521   -0.4244    0.0218   -1.3954    0.6247
  39  27.30    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -1.5665   -0.5063    0.2293   -1.0793    0.5054
  40  28.00    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -1.9625   -0.0382    0.2044   -0.7423    0.3888
  41  28.70    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -2.0711    0.4721    0.2231   -0.4381    0.2261
  42  29.40    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -1.9087    0.6804   -0.0179   -0.2493    0.0455
  43  30.10    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -1.4553    0.5563   -0.2232   -0.1292   -0.1009
  44  30.80    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -0.7287    0.1962   -0.3460   -0.0940   -0.1677
  45  31.50    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177   -0.1158   -0.0395   -0.2507   -0.0706   -0.1215
  46  32.20    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.1219    0.0428   -0.1808   -0.0915   -0.0982
  47  32.90    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.2414    0.0746   -0.0221   -0.0729   -0.0866
  48  33.60    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.1982    0.0084    0.0565    0.0196   -0.0620
  49  34.30    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.1672   -0.0495    0.0609    0.0473   -0.0475
  50  35.00    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.0127    0.0384   -0.0370    0.0082    0.0019
  51  35.70    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.0390   -0.0138   -0.0103   -0.0066    0.0265
  52  36.40    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.0045    0.0069   -0.0550   -0.0174    0.0066
  53  37.10    1.0000    1.0000    1.0000    1.0000    1.0000    2.1177    2.1177    2.1177    2.1177    2.1177    0.0050   -0.0006   -0.0831   -0.0205   -0.0012
