160.04886    53.21336     53.40      33.1     86.6     78.3     0.729    160.04886    53.21336    
160.29172    53.09760     46.60      30.6     84.8     83.7     1.251    160.29172    53.09760    
160.53456    52.98183     39.80      24.1     86.3     93.6     1.725    160.53456    52.98183    
160.77742    52.86607     33.00      21.3     88.7     104.2    1.818    160.77742    52.86607    
161.02028    52.75031     26.20      204.7    89.9     -115.1   1.917    161.02028    52.75031    
161.26312    52.63455     19.40      104.2    33.9     -1.8     1.896    161.26312    52.63455    
161.50598    52.51879     12.60      97.8     43.2     1.9      1.966    161.50598    52.51879    
161.74884    52.40303     5.81       95.6     48.8     8.2      1.963    161.74884    52.40303    
159.82216    53.03632     53.40      40.8     83.9     76.8     1.011    159.82216    53.03632    
160.06500    52.92056     46.60      38.9     83.0     74.8     1.875    160.06500    52.92056    
160.30786    52.80480     39.80      39.2     88.3     86.7     2.572    160.30786    52.80480    
160.55070    52.68904     33.00      28.5     90.0     102.3    3.120    160.55070    52.68904    
160.79356    52.57328     26.20      110.1    25.5     -2.4     3.335    160.79356    52.57328    
161.03642    52.45752     19.40      100.8    34.8     -6.7     3.124    161.03642    52.45752    
161.27927    52.34175     12.60      96.5     46.4     -2.7     3.146    161.27927    52.34175    
161.52213    52.22599     5.81       95.4     56.0     0.3      3.128    161.52213    52.22599    
159.59544    52.85928     53.40      48.3     77.1     82.7     0.943    159.59544    52.85928    
159.83830    52.74352     46.60      38.9     79.5     75.3     1.539    159.83830    52.74352    
160.08115    52.62776     39.80      32.7     87.0     88.9     2.642    160.08115    52.62776    
160.32401    52.51200     33.00      27.6     88.7     95.4     3.946    160.32401    52.51200    
160.56686    52.39624     26.20      200.5    87.6     -108.7   3.568    160.56686    52.39624    
160.80971    52.28048     19.40      99.9     32.8     -8.0     3.775    160.80971    52.28048    
161.05257    52.16472     12.60      97.1     40.7     -7.4     3.945    161.05257    52.16472    
161.29543    52.04896     5.81       96.2     46.8     -7.7     4.153    161.29543    52.04896    
159.36874    52.68225     53.40      78.0     66.8     110.7    1.088    159.36874    52.68225    
159.61159    52.56649     46.60      64.5     70.1     98.9     1.544    159.61159    52.56649    
159.85445    52.45073     39.80      34.0     81.3     80.2     2.457    159.85445    52.45073    
160.09731    52.33496     33.00      30.7     87.5     87.6     3.138    160.09731    52.33496    
160.34015    52.21920     26.20      200.2    88.5     -103.8   3.435    160.34015    52.21920    
160.58301    52.10344     19.40      99.6     28.5     -6.9     3.757    160.58301    52.10344    
160.82585    51.98768     12.60      96.4     35.9     -9.6     4.145    160.82585    51.98768    
161.06871    51.87192     5.81       96.0     39.9     -7.6     4.615    161.06871    51.87192    
159.14203    52.50521     53.40      88.8     65.7     135.6    1.180    159.14203    52.50521    
159.38489    52.38945     46.60      81.1     63.2     118.8    1.612    159.38489    52.38945    
159.62773    52.27369     39.80      48.4     69.8     79.3     1.978    159.62773    52.27369    
159.87059    52.15793     33.00      33.7     83.2     86.5     2.342    159.87059    52.15793    
160.11345    52.04217     26.20      21.5     89.6     99.2     2.817    160.11345    52.04217    
160.35629    51.92641     19.40      100.1    23.6     -8.5     3.440    160.35629    51.92641    
160.59915    51.81065     12.60      97.6     31.6     -11.1    4.170    160.59915    51.81065    
160.84201    51.69489     5.81       97.8     35.4     -10.3    4.603    160.84201    51.69489    
158.91533    52.32817     53.40      96.0     66.0     144.0    1.167    158.91533    52.32817    
159.15817    52.21241     46.60      93.3     67.1     135.1    1.687    159.15817    52.21241    
159.40103    52.09665     39.80      79.2     68.5     120.4    1.646    159.40103    52.09665    
159.64389    51.98089     33.00      41.3     80.0     93.8     1.686    159.64389    51.98089    
159.88673    51.86513     26.20      209.8    89.8     -102.6   2.314    159.88673    51.86513    
160.12959    51.74937     19.40      101.4    26.7     -14.5    3.085    160.12959    51.74937    
160.37245    51.63361     12.60      99.5     33.3     -16.1    3.826    160.37245    51.63361    
160.61530    51.51785     5.81       98.6     36.3     -16.9    4.227    160.61530    51.51785    
158.68861    52.15114     53.40      96.7     61.4     141.0    1.223    158.68861    52.15114    
158.93147    52.03538     46.60      97.2     65.9     137.4    1.787    158.93147    52.03538    
159.17432    51.91962     39.80      88.1     69.5     134.0    1.550    159.17432    51.91962    
159.41718    51.80386     33.00      62.3     85.7     113.5    1.257    159.41718    51.80386    
159.66003    51.68810     26.20      220.8    83.4     -115.5   2.131    159.66003    51.68810    
159.90288    51.57233     19.40      214.4    79.3     -121.6   3.070    159.90288    51.57233    
160.14574    51.45657     12.60      104.0    35.3     -20.8    3.776    160.14574    51.45657    
160.38860    51.34081     5.81       100.7    35.5     -18.5    4.116    160.38860    51.34081    
158.46191    51.97410     53.40      97.8     58.8     141.8    1.163    158.46191    51.97410    
158.70476    51.85834     46.60      101.3    65.4     134.1    1.770    158.70476    51.85834    
158.94762    51.74258     39.80      94.7     67.9     130.5    1.442    158.94762    51.74258    
159.19048    51.62682     33.00      54.3     85.9     101.5    1.213    159.19048    51.62682    
159.43332    51.51106     26.20      222.2    79.9     -116.3   2.220    159.43332    51.51106    
159.67618    51.39530     19.40      216.3    77.8     -121.5   3.305    159.67618    51.39530    
159.91904    51.27954     12.60      105.6    38.7     -23.1    3.910    159.91904    51.27954    
160.16188    51.16378     5.81       102.6    39.2     -21.8    4.171    160.16188    51.16378    
158.23520    51.79707     53.40      105.6    55.2     144.0    1.381    158.23520    51.79707    
158.47806    51.68130     46.60      107.2    60.8     137.1    1.934    158.47806    51.68130    
158.72092    51.56554     39.80      103.0    66.3     129.1    1.354    158.72092    51.56554    
158.96376    51.44978     33.00      45.3     81.2     86.3     1.013    158.96376    51.44978    
159.20662    51.33402     26.20      211.5    86.4     -106.8   2.386    159.20662    51.33402    
159.44946    51.21826     19.40      209.6    83.1     -115.0   3.748    159.44946    51.21826    
159.69232    51.10250     12.60      101.7    30.5     -18.5    4.572    159.69232    51.10250    
159.93518    50.98674     5.81       100.2    30.9     -18.1    4.975    159.93518    50.98674    
158.00850    51.62003     53.40      109.7    60.1     142.2    1.303    158.00850    51.62003    
158.25134    51.50427     46.60      103.8    60.2     137.3    1.696    158.25134    51.50427    
158.49420    51.38851     39.80      95.9     62.1     127.9    1.354    158.49420    51.38851    
158.73706    51.27275     33.00      33.0     77.8     80.9     1.279    158.73706    51.27275    
158.97990    51.15699     26.20      20.4     89.3     99.7     2.798    158.97990    51.15699    
159.22276    51.04123     19.40      200.4    86.4     -107.2   4.317    159.22276    51.04123    
159.46562    50.92546     12.60      96.4     21.0     -14.8    5.393    159.46562    50.92546    
159.70847    50.80970     5.81       96.4     21.3     -15.0    6.064    159.70847    50.80970    
157.78178    51.44299     53.40      100.5    50.4     146.6    1.191    157.78178    51.44299    
158.02464    51.32723     46.60      95.3     49.7     139.4    1.648    158.02464    51.32723    
158.26750    51.21147     39.80      82.4     55.6     118.7    1.179    158.26750    51.21147    
158.51035    51.09571     33.00      25.7     78.0     83.3     1.497    158.51035    51.09571    
158.75320    50.97995     26.20      15.9     88.7     97.4     3.383    158.75320    50.97995    
158.99606    50.86419     19.40      196.6    88.3     -102.5   5.122    158.99606    50.86419    
159.23891    50.74843     12.60      197.9    86.4     -105.9   6.328    159.23891    50.74843    
159.48177    50.63267     5.81       197.4    85.9     -106.5   6.998    159.48177    50.63267    
157.55508    51.26595     53.40      90.1     42.1     137.4    1.220    157.55508    51.26595    
157.79794    51.15019     46.60      84.0     43.0     136.4    1.598    157.79794    51.15019    
158.04079    51.03443     39.80      66.4     54.5     108.5    1.138    158.04079    51.03443    
158.28365    50.91867     33.00      18.1     80.7     85.5     2.017    158.28365    50.91867    
158.52649    50.80291     26.20      11.7     87.6     94.5     3.906    158.52649    50.80291    
158.76935    50.68715     19.40      192.9    89.4     -99.1    5.809    158.76935    50.68715    
159.01221    50.57139     12.60      195.0    87.9     -101.9   7.137    159.01221    50.57139    
159.25505    50.45563     5.81       195.8    87.0     -103.3   7.771    159.25505    50.45563    
157.32837    51.08892     53.40      69.2     28.0     137.8    1.196    157.32837    51.08892    
157.57123    50.97316     46.60      69.5     34.7     133.0    1.529    157.57123    50.97316    
157.81409    50.85740     39.80      51.2     49.4     99.7     1.072    157.81409    50.85740    
