Station  Channel  Latitude   Longitude  Azimuth    Distance   StdDev       MaxAmp       P_time     PP_time    Net  Filename
SBC      BHZ      34.4408    -119.7149  74.12      57.57      4.2700e-01   1.3155e+02   586.34     714.25     SYN  SBCBHZ
ECH      BHZ      48.2163    7.1590     342.01     76.71      6.8440e-02   1.5096e+02   707.86     880.28     SYN  ECHBHZ
GTBY     BHZ      19.9268    -75.1108   50.75      93.11      1.2034e-01   4.5050e+01   790.42     1013.57    SYN  GTBYBHZ
MAKZ     BHZ      46.8080    81.9770    296.51     48.50      2.1471e-01   4.5510e+02   519.45     632.44     SYN  MAKZBHZ
POHA     BHZ      19.7573    -155.5326  116.62     47.22      7.4309e-01   1.9154e+02   509.50     620.71     SYN  POHABHZ
GNI      BHZ      40.1480    44.7410    313.54     71.90      8.4700e-02   2.0229e+02   679.80     839.42     SYN  GNIBHZ
SOEI     BHZ      -9.7553    124.2672   218.39     69.49      4.2511e-01   8.3469e+01   665.11     818.71     SYN  SOEIBHZ
KAAM     BHZ      0.4926     72.9949    268.32     87.98      4.8228e+00   1.5864e+02   766.61     972.92     SYN  KAAMBHZ
DAG      BHZ      76.7713    -18.6550   359.70     50.72      1.0558e-01   2.5006e+02   536.34     652.61     SYN  DAGBHZ
TATO     BHZ      24.9735    121.4971   242.02     40.11      1.5685e+00   1.7472e+02   452.36     545.02     SYN  TATOBHZ
WVT      BHZ      36.1297    -87.8300   51.41      73.45      9.2380e-02   8.9910e+01   689.01     852.63     SYN  WVTBHZ
ARTI     BHZ      56.3879    58.3849    317.82     53.76      1.3721e-01   3.4266e+02   558.99     680.18     SYN  ARTIBHZ
GRTK     BHZ      21.5115    -71.1342   46.73      93.55      1.6356e-01   4.0095e+01   792.44     1017.01    SYN  GRTKBHZ
SFJD     BHZ      66.9961    -50.6208   13.68      58.24      2.6163e-01   1.8844e+02   591.01     720.16     SYN  SFJDBHZ
COCO     BHZ      -12.1901   96.8349    241.66     84.38      2.3046e+00   1.2250e+02   748.89     943.74     SYN  COCOBHZ
TLY      BHZ      51.6807    103.6438   291.80     33.92      2.2979e-01   5.5329e+02   399.83     473.27     SYN  TLYBHZ
KBS      BHZ      78.9154    11.9385    352.10     47.23      1.4813e-01   3.5409e+02   509.63     620.86     SYN  KBSBHZ
BORG     BHZ      64.7474    -21.3268   0.79       62.73      5.9340e-01   2.0516e+02   621.74     759.87     SYN  BORGBHZ
TUC      BHZ      32.3098    -110.7847  69.65      64.27      1.9190e-01   1.0369e+02   631.92     773.39     SYN  TUCBHZ
HKT      BHZ      29.9648    -95.8381   60.83      74.32      1.9444e-01   8.4054e+01   694.15     860.09     SYN  HKTBHZ
NWAO     BHZ      -32.9277   117.2390   215.17     93.34      4.4126e-01   4.4911e+01   791.49     1015.40    SYN  NWAOBHZ
SSB      BHZ      45.2790    4.5420     342.97     80.02      6.7749e-02   1.3874e+02   726.13     907.93     SYN  SSBBHZ
LSA      BHZ      29.7033    91.1276    274.08     54.48      1.4009e-01   1.8251e+02   564.25     686.66     SYN  LSABHZ
HGN      BHZ      50.7640    5.9317     343.53     74.49      6.5419e-02   1.5753e+02   695.10     861.49     SYN  HGNBHZ
SUMG     BHZ      72.5742    -38.4626   6.83       54.23      2.9687e-01   2.2312e+02   562.40     684.39     SYN  SUMGBHZ
KEV      BHZ      69.7565    27.0035    341.65     53.13      1.9891e-01   2.8719e+02   554.34     674.48     SYN  KEVBHZ
HNR      BHZ      -9.4387    159.9475   180.42     61.95      5.0900e-01   1.3243e+02   616.50     752.99     SYN  HNRBHZ
MATE     BHZ      40.6491    16.7044    332.97     81.65      2.1701e-01   1.3477e+02   734.83     921.42     SYN  MATEBHZ
CSS      BHZ      34.9611    33.3310    318.55     81.11      6.5955e-02   1.4239e+02   731.94     916.92     SYN  CSSBHZ
KAPI     BHZ      -5.0142    119.7517   224.88     66.97      8.2512e-02   8.3178e+01   649.36     796.95     SYN  KAPIBHZ
PPTF     BHZ      -17.5896   -149.5652  132.31     82.40      2.8524e+00   1.5108e+02   738.73     927.56     SYN  PPTFBHZ
