Station  Channel  Latitude   Longitude  Azimuth    Distance   Khole  StdDev       P_time     PP_time    Net  Filename
JZAX     BHZ      40.0928    67.7118    298.81     60.67      10     1.1092e-01   608.21     741.70     II   Marked/II.JZAX.10.BHZ.M.2025.210.232459.SAC
KAAM     BHZ      0.4926     72.9949    268.32     87.98      --     4.8228e+00   767.48     972.92     GE   Marked/GE.KAAM..BHZ.D.2025.210.232732.SAC
KAPI     BHZ      -5.0142    119.7517   224.88     66.97      00     8.2512e-02   649.59     796.95     II   Marked/II.KAPI.00.BHZ.M.2025.210.232540.SAC
KBS      BHZ      78.9154    11.9385    352.10     47.23      00     1.4813e-01   512.38     620.86     IU   Marked/IU.KBS.00.BHZ.M.2025.210.232321.SAC
KBU      BHZ      34.5151    69.1347    293.57     63.95      --     1.7734e+00   629.55     770.53     GE   Marked/GE.KBU..BHZ.D.2025.210.232520.SAC
KEV      BHZ      69.7565    27.0035    341.65     53.13      10     1.9867e-01   555.64     674.48     IU   Marked/IU.KEV.10.BHZ.M.2025.210.232406.SAC
KIEV     BHZ      50.7012    29.2242    329.23     68.86      00     1.0146e-01   663.04     813.31     IU   Marked/IU.KIEV.00.BHZ.M.2025.210.232552.SAC
KIP      BHZ      21.4200    -158.0112  117.92     44.52      00     1.1505e+00   490.94     592.52     G    Marked/G.KIP.00.BHZ.D.2025.210.232300.SAC
KIV      BHZ      43.9553    42.6863    317.17     69.66      00     8.6241e-02   668.08     820.25     II   Marked/II.KIV.00.BHZ.M.2025.210.232557.SAC
KONO     BHZ      59.6521    9.5946     344.23     65.38      00     3.7290e-01   641.55     783.11     IU   Marked/IU.KONO.00.BHZ.M.2025.210.232530.SAC
KURK     BHZ      50.7154    78.6202    302.47     47.95      00     1.6207e-01   515.35     627.44     II   Marked/II.KURK.00.BHZ.M.2025.210.232326.SAC
LSA      BHZ      29.7033    91.1276    274.08     54.48      10     1.4782e-01   566.23     686.66     IC   Marked/IC.LSA.10.BHZ.M.2025.210.232415.SAC
LUWI     BHZ      -1.0418    122.7717   223.72     62.10      --     1.4286e-01   615.86     754.26     GE   Marked/GE.LUWI..BHZ.D.2025.210.232451.SAC
LVZ      BHZ      67.8979    34.6514    337.49     53.01      00     2.8985e-01   554.59     673.42     II   Marked/II.LVZ.00.BHZ.M.2025.210.232405.SAC
MAKZ     BHZ      46.8080    81.9770    296.51     48.50      00     2.1471e-01   519.39     632.44     IU   Marked/IU.MAKZ.00.BHZ.M.2025.210.232330.SAC
MATE     BHZ      40.6491    16.7044    332.97     81.65      --     2.1701e-01   736.87     921.42     GE   Marked/GE.MATE..BHZ.D.2025.210.232701.SAC
MBWA     BHZ      -21.1590   119.7313   217.95     81.69      00     4.5016e-01   734.01     921.69     IU   Marked/IU.MBWA.00.BHZ.M.2025.210.232706.SAC
MORC     BHZ      49.7766    17.5428    335.90     72.97      --     4.9064e-02   689.22     848.58     GE   Marked/GE.MORC..BHZ.D.2025.210.232609.SAC
MSVF     BHZ      -17.7448   178.0528   162.17     71.92      00     8.3248e-01   682.97     839.65     II   Marked/II.MSVF.00.BHZ.M.2025.210.232611.SAC
MTE      BHZ      40.3997    -7.5442    350.78     86.49      --     9.5965e-02   762.15     960.93     GE   Marked/GE.MTE..BHZ.D.2025.210.232725.SAC
NPW      BHZ      19.7785    96.1376    262.10     58.81      --     1.3410e-01   592.40     725.23     GE   Marked/GE.NPW..BHZ.D.2025.210.232440.SAC
OBN      BHZ      55.1146    36.5674    327.68     62.78      00     1.1796e-01   623.50     760.24     II   Marked/II.OBN.00.BHZ.M.2025.210.232513.SAC
PABE     BHZ      55.5052    23.9680    334.70     66.14      --     1.3927e-01   646.59     789.67     GE   Marked/GE.PABE..BHZ.D.2025.210.232530.SAC
