     0.000       0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00   0.000000E+00
     0.700       1.027445E+00   2.179775E-02  -1.992172E-01   1.774194E-01   4.722251E-01   3.441186E-01  -8.647633E-01
     1.400       2.155795E+00  -3.233929E-02  -5.426211E-01   5.749604E-01   8.222398E-01   7.836471E-01  -1.795992E+00
     2.100       3.030133E+00  -2.515675E-01  -5.983662E-01   8.499337E-01   1.026638E+00   9.980512E-01  -2.586250E+00
     2.800       4.826911E+00  -1.023939E+00  -4.616289E-01   1.485568E+00   1.716523E+00   1.451855E+00  -4.069494E+00
     3.500       6.464334E+00  -1.968405E+00  -2.610045E-01   2.229409E+00   2.665271E+00   1.848527E+00  -5.183834E+00
     4.200       9.094310E+00  -3.148865E+00   2.796369E-01   2.869228E+00   3.907706E+00   2.398201E+00  -7.253165E+00
     4.900       1.295476E+01  -4.252857E+00   1.127097E-01   4.140147E+00   5.363030E+00   3.856682E+00  -1.033515E+01
     5.600       1.573716E+01  -4.686410E+00  -2.775343E-01   4.963944E+00   6.022562E+00   4.969747E+00  -1.279389E+01
     6.300       1.884793E+01  -4.339247E+00  -2.147248E+00   6.486495E+00   6.191472E+00   6.102960E+00  -1.572274E+01
     7.000       2.051106E+01  -3.143134E+00  -4.597440E+00   7.740574E+00   5.386635E+00   6.664188E+00  -1.737791E+01
     7.700       1.982268E+01  -1.770102E+00  -6.404302E+00   8.174405E+00   4.170176E+00   6.379205E+00  -1.671925E+01
     8.400       1.811389E+01  -4.954730E-01  -7.522551E+00   8.018024E+00   2.626887E+00   6.002551E+00  -1.499046E+01
     9.100       1.733969E+01   5.076376E-01  -8.730458E+00   8.222821E+00   1.258017E+00   5.976726E+00  -1.383218E+01
     9.800       1.422447E+01   1.382906E+00  -8.111373E+00   6.728467E+00  -3.951482E-01   4.931567E+00  -1.101680E+01
    10.500       1.409681E+01   1.972244E+00  -8.388441E+00   6.416197E+00  -1.676951E+00   4.455827E+00  -1.087922E+01
    11.200       1.649457E+01   2.337848E+00  -9.124840E+00   6.786992E+00  -2.581299E+00   4.964006E+00  -1.316745E+01
    11.900       1.737787E+01   2.487951E+00  -9.048372E+00   6.560421E+00  -3.159079E+00   5.402323E+00  -1.404590E+01
    12.600       1.651515E+01   2.328066E+00  -7.662605E+00   5.334539E+00  -3.419713E+00   5.760938E+00  -1.349050E+01
    13.300       1.293311E+01   1.957110E+00  -5.788051E+00   3.830941E+00  -3.240934E+00   5.614584E+00  -1.005774E+01
    14.000       9.423665E+00   1.419871E+00  -5.267473E+00   3.847602E+00  -2.611530E+00   4.788466E+00  -6.282903E+00
    14.700       6.921380E+00   1.089870E+00  -5.441307E+00   4.351437E+00  -2.190932E+00   3.113958E+00  -2.999704E+00
    15.400       5.674409E+00   1.264157E+00  -5.843191E+00   4.579034E+00  -2.071555E+00   1.055386E+00  -1.875273E-01
    16.100       6.956846E+00   1.817664E+00  -7.457691E+00   5.640027E+00  -1.849477E+00  -9.121129E-01   1.163657E+00
    16.800       7.825981E+00   2.640309E+00  -8.247765E+00   5.607456E+00  -1.837184E+00  -2.205223E+00   1.274522E+00
    17.500       7.933382E+00   3.113949E+00  -8.134611E+00   5.020662E+00  -1.795575E+00  -2.991194E+00   9.932629E-01
    18.200       7.282074E+00   3.077599E+00  -7.063774E+00   3.986175E+00  -1.721333E+00  -3.372738E+00   1.041430E+00
    18.900       6.496410E+00   2.616095E+00  -5.830219E+00   3.214123E+00  -1.477851E+00  -3.582427E+00   1.394793E+00
    19.600       6.047143E+00   1.921480E+00  -5.164832E+00   3.243352E+00  -6.892617E-01  -3.387320E+00   2.139873E+00
    20.300       6.129001E+00   1.162879E+00  -5.059637E+00   3.896758E+00   5.436257E-01  -2.843946E+00   2.848450E+00
    21.000       6.294171E+00   4.919615E-01  -4.965297E+00   4.473336E+00   1.798478E+00  -2.296898E+00   3.007230E+00
    21.700       5.400919E+00   3.086214E-01  -4.401985E+00   4.093363E+00   2.400042E+00  -1.919594E+00   1.513756E+00
    22.400       4.968312E+00   1.400693E-01  -3.713767E+00   3.573698E+00   2.688629E+00  -1.961391E+00  -6.139650E-01
    23.100       4.875666E+00  -1.039080E-01  -2.539313E+00   2.643221E+00   2.816708E+00  -1.919741E+00  -2.399467E+00
    23.800       4.920763E+00  -3.322507E-01  -1.129877E+00   1.462128E+00   2.690480E+00  -1.713612E+00  -3.690908E+00
    24.500       4.450870E+00  -6.159773E-01  -2.498358E-01   8.658131E-01   2.820437E+00  -1.517111E+00  -3.248722E+00
    25.200       3.646958E+00  -6.608376E-01   1.142495E-01   5.465881E-01   2.915268E+00  -9.882223E-01  -1.948079E+00
    25.900       2.666469E+00  -6.148517E-01   6.149892E-01  -1.374966E-04   2.368267E+00  -9.952615E-01  -4.014382E-01
    26.600       2.647688E+00  -5.709968E-01   1.035028E+00  -4.640308E-01   1.807047E+00  -1.014732E+00   1.444434E+00
    27.300       3.437610E+00  -3.861388E-01   1.480342E+00  -1.094203E+00   1.272841E+00  -1.030988E+00   2.725756E+00
    28.000       3.773141E+00  -6.249737E-02   2.300385E+00  -2.237888E+00   3.461371E-01  -1.137045E+00   2.781022E+00
    28.700       4.108275E+00   1.611469E-01   2.975416E+00  -3.136563E+00  -4.709588E-01  -9.751984E-01   2.522114E+00
